Species	Latitude	Longitude
"Quercus rubra"	44.86557285	-79.85164836
"Quercus rubra"	45.61852515	-77.40017024
"Quercus rubra"	41.96893167	-82.51816334
"Quercus rubra"	44.88380162	-77.16651153
"Quercus rubra"	45.53327369	-77.98263664
"Quercus rubra"	45.51651373	-77.0152168
"Quercus rubra"	44.93177525	-76.69935895
"Quercus rubra"	45.08440956	-77.83366126
"Quercus rubra"	41.96577075	-82.51644054
"Quercus rubra"	46.23240315	-64.44803342
"Quercus rubra"	45.30097043	-75.54992142
"Quercus rubra"	45.49112974	-76.08230657
"Quercus rubra"	42.48218554	-81.66692107
"Quercus rubra"	45.2985585	-76.33335876
"Quercus rubra"	46.11774326	-78.38470035
"Quercus rubra"	41.34708628	-72.03088701
"Quercus rubra"	41.75787226	-72.95742131
"Quercus rubra"	41.6928061	-73.27859517
"Quercus rubra"	41.76450875	-72.6823523
"Quercus rubra"	41.56037702	-72.35259427
"Quercus rubra"	41.76104831	-72.61763701
"Quercus rubra"	41.20361471	-73.12832059
"Quercus rubra"	41.81225976	-72.80085307
"Quercus rubra"	41.18552327	-73.19430006
"Quercus rubra"	41.18497529	-73.19800686
"Quercus rubra"	41.77453675	-72.52348792
"Quercus rubra"	41.98623248	-73.42092743
"Quercus rubra"	41.90809869	-72.95307439
"Quercus rubra"	41.18837975	-73.19768123
"Quercus rubra"	41.17715565	-73.27357344
"Quercus rubra"	42.01484741	-72.17544046
"Quercus rubra"	41.9736612	-72.5508052
"Quercus rubra"	41.9854822	-73.42188089
"Quercus rubra"	41.5275606	-73.12327016
"Quercus rubra"	41.78670701	-72.23113963
"Quercus rubra"	41.8461195	-73.33084527
"Quercus rubra"	45.70133081	-69.73475418
"Quercus rubra"	42.39946324	-72.67804243
"Quercus rubra"	44.27112068	-71.30417012
"Quercus rubra"	41.80022025	-71.73528912
"Quercus rubra"	42.09996064	-73.36762509
"Quercus rubra"	44.69637501	-70.44955699
"Quercus rubra"	41.67786143	-70.41583729
"Quercus rubra"	41.33435527	-73.11791556
"Quercus rubra"	41.29580814	-73.36197402
"Quercus rubra"	41.24136935	-73.47042323
"Quercus rubra"	41.70593786	-72.61617859
"Quercus rubra"	41.90601106	-72.70120309
"Quercus rubra"	39.80125646	-76.05000486
"Quercus rubra"	41.56119789	-72.12605182
"Quercus rubra"	44.05313653	-123.1819726
"Quercus rubra"	45.68354837	-122.7343158
"Quercus rubra"	34.56637142	-85.58179602
"Quercus rubra"	33.59866127	-86.31814384
"Quercus rubra"	31.61613331	-85.22840933
"Quercus rubra"	38.52042162	-90.54970275
"Quercus rubra"	36.54193037	-91.81930625
"Quercus rubra"	38.99836997	-94.52070655
"Quercus rubra"	37.96132207	-93.93950709
"Quercus rubra"	40.51910358	-91.64096455
"Quercus rubra"	37.73950814	-94.32928094
