"Source" "IslandID" "TaxonOrig" "GenusL69" "SpeciesL69" "SubspL69" "SpeciesID" "SubspID" "Sex" "Plumage" "BodyL" "WingL" "TailL" "BeakW" "BeakH" "LBeakL" "UBeakL" "N.UBkL" "TarsusL" "MToeL"
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza prosthemelas prosthemelas" "Camarhynchus" "parvulus" "parvulus" "Cam.par" "Cam.par.par" "M" NA 110 61 36 6 8 5.5 11 "7" 20 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza prosthemelas prosthemelas" "Camarhynchus" "parvulus" "parvulus" "Cam.par" "Cam.par.par" "M" NA 113 61 39 6.5 8 5.5 10.7 "7" 20.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza prosthemelas prosthemelas" "Camarhynchus" "parvulus" "parvulus" "Cam.par" "Cam.par.par" "M" NA 121 61 39 6.5 8.5 6 11.5 "8" 20.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza prosthemelas prosthemelas" "Camarhynchus" "parvulus" "parvulus" "Cam.par" "Cam.par.par" "M" NA 110 64 37.5 6.5 8.3 5.7 11 "7" 20.7 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza prosthemelas prosthemelas" "Camarhynchus" "parvulus" "parvulus" "Cam.par" "Cam.par.par" "M" NA 116 60 39 6.3 8 5.5 11 "7" 20 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza prosthemelas prosthemelas" "Camarhynchus" "parvulus" "parvulus" "Cam.par" "Cam.par.par" "M" NA 113 62.5 41 6.5 8 5.5 12 "7" 21 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza prosthemelas prosthemelas" "Camarhynchus" "parvulus" "parvulus" "Cam.par" "Cam.par.par" "M" NA 110 62 44 6.3 8 5.7 11.3 "7" 20 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza prosthemelas prosthemelas" "Camarhynchus" "parvulus" "parvulus" "Cam.par" "Cam.par.par" "F" NA 117 60 43 5.5 7.7 5.3 11 "7" 19.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza prosthemelas prosthemelas" "Camarhynchus" "parvulus" "parvulus" "Cam.par" "Cam.par.par" "F" NA 111 58 42 6.3 8 5.5 11 "7" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza prosthemelas prosthemelas" "Camarhynchus" "parvulus" "parvulus" "Cam.par" "Cam.par.par" "F" NA 116 60.5 33.5 6.5 7 5.5 11.5 "7" 19.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza prosthemelas prosthemelas" "Camarhynchus" "parvulus" "parvulus" "Cam.par" "Cam.par.par" "F" NA 111 61 37 6 7 5.3 10.5 "6.5" 20 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza prosthemelas prosthemelas" "Camarhynchus" "parvulus" "parvulus" "Cam.par" "Cam.par.par" "F" NA 110 61 37 6.5 8.5 5.3 10.5 "7" 19 NA
