"Source" "IslandID" "TaxonOrig" "GenusL69" "SpeciesL69" "SubspL69" "SpeciesID" "SubspID" "Sex" "Plumage" "BodyL" "WingL" "TailL" "BeakW" "BeakH" "LBeakL" "UBeakL" "N.UBkL" "TarsusL" "MToeL"
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 112 65 37.5 7.5 8.5 7.5 13.5 "9" 20.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 122 62 40 7 9.7 6.7 13.5 "8.5" 18 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 112 62 39 6.7 8.5 6.3 13 "9" 19.3 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 118 64.5 39 7 9 6.5 12 "7.5" 18 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 120 63.5 38 7 9.5 6.5 12.5 "8.5" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 114 63 40 6.3 8.3 6.5 12.5 "8" 18.7 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 114 60 42 6.7 9 7 13 "8.5" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 110 59.5 47 6.7 8.5 6 12 "7.5" 18.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 112 61 45 6.5 8.7 6.3 13 "8" 19.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 115 61 44 6.5 9.7 7 12.5 "8" 18.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 125 62 39 6.7 8.3 6.5 13.5 "8.3" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 118 61.5 35 6.5 8 6.5 12.5 "7.5" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 108 69 39 6.5 8 6.5 12 "9" 17 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 112 59 34 7 8 6.5 12.5 "8" 19.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 112 59 36.5 6.5 8.7 6.3 13 "8" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 110 61 38.5 6.5 8.5 6 13 "8" 19.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 112 62 44 7 8.7 6.7 13 "8" 19.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 112 61 42 6.5 8 7 12.5 "8.5" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA NA 61 37 6 8 6 11.5 "7.7" 20 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 110 59 39 6.5 8 6 11.5 "8" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 111 59 35 7 8.5 6.5 12 "8" 18 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 115 62 40 7 8.5 6.5 11.5 "8" 17.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 123 62 38 6.7 8.5 6.5 13 "8" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 115 60 39 6.5 7.7 6.5 12 "8" 18 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 115 61 38 6.5 8.5 6.5 12 "8" 18 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 115 60 38 6.5 8.5 6.3 13 "8" 18.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 112 58.5 36.5 6 8.5 6.5 13.5 "8" 18 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 122 62 44 6.7 8.7 6.5 13 "8.3" 18.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 113 62 40 6.7 9 6.7 13.3 "8.3" 19.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 109 64 40 6.5 8.5 6.3 12.5 "8" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 128 64 41 7 9 6.5 13.5 "8.5" 19.7 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 122 62 44 6.5 9.5 6 13 "8" 18 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 116 65 42.5 7 8.5 6.5 12.5 "8" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 118 63 39 6.5 8 NA 12 "7.5" 18.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 111 62 39.5 7 8.5 6 12 "7.5" 18 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 114 63 37.5 6.5 8 6 12.5 "8" 18.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 133 62 40 6.7 9 6.5 12.5 "8" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 118 65.5 40 7 9 6 12.3 "8" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 117 64 40 7 8.5 6.5 13 "8.5" 20 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 115 63 42.5 6.5 8.5 6.3 12 "8" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 120 62.5 38 6.5 8.5 6 12 "7.3" 18.3 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 108 59 35 7 7.5 6.5 13 "8.3" 18.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 110 60 37 6 8 6 12.5 "7" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 118 62 40 6.7 8.7 6.5 12.5 "8" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 111 60 44 6.3 8.3 6 12 "8" 18.3 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 120 63.5 40 7 8.5 7 13 "8.3" 18 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 110 62 38 7 9 7 13 "8.5" 19.7 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 107 66 45 7 8.3 6.5 13.5 "8" 21 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 115 64 43 7 8.5 6.3 12.7 "8.7" 20 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 119 63 39.5 6.7 8.5 6.3 12.3 "8" 20 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 116 64 44.3 6.7 8.5 6.7 13 "9" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 123 64 39 6.7 8.5 7 12.7 "8.5" 18 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 126 63.5 41 6 8 6.5 12.3 "8" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 115 63 37 7 8.5 7.5 13 "8.5" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA NA 67 41 7 9.5 6.5 12.3 "8.3" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 119 63 41 6.5 8.7 6.7 13 "8" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 117 60 43 7 8.5 6.5 12.5 "8" 18 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 107 60 40 6 8 6.7 13 "8" 20.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 114 60 38 6 8.7 6.7 12.5 "8" 18.5 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 110 62 39.5 7 9 6.3 13 "8" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 107 60 40 6.7 8.5 6.3 12.3 "8" 19 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 115 61 34.5 6.5 8.5 6.5 12.5 "8.5" 20 NA
"Snodgrass & Heller (1904)" "Isa_Alb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 115 57.5 37.5 6.5 8.3 6.5 12.5 "8.5" 18.5 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 111 62.5 37.5 7 8.5 6.7 12 "8" 18 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 113 62 42.5 6 8 6.5 12 "8" 18 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 119 62 44 6.7 8.9 6 13 "7.7" 19 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 105 62 40 6.5 8.3 6.5 12.7 "8" 20 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 112 64 40 6.5 8 6 13 "8" 20 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 121 65 36.5 7 8.5 7 12.7 "8.5" 18.5 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 120 62 40 7 7.5 6.5 13 "9" 18 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 122 62 39.5 7.5 9 7 12 "8.5" 19 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 113 65 38.5 7.3 8 8.5 14 "9.5" 19.3 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 128 64 40 6.5 8 8.3 14 "9.5" 20 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 118 63 38 6.3 6.5 6 12 "8.3" 18.5 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 118 62 42 7 9 6 12.5 "8" 18.5 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 115 63 41 6.3 8.7 6.7 13 "8" 19 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 118 64 42.5 6 8.3 6 11 "7.7" 18.5 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 112 61 37 7 7.5 7 13 "8.5" 17.5 NA
"Snodgrass & Heller (1904)" "Frn_Nrb" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 122 64 37 7 7 6.5 12.3 "8.5" 18.5 NA
"Snodgrass & Heller (1904)" "Balt_SS" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 119 63 36 6.7 8.7 6.5 14.3 "9" 19 NA
"Snodgrass & Heller (1904)" "Balt_SS" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 124 60 39 7 8.5 7 13.3 "8.3" 19 NA
"Snodgrass & Heller (1904)" "Balt_SS" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 123 65 39.5 7 8.5 7 13 "8" 19 NA
"Snodgrass & Heller (1904)" "Balt_SS" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 126 65 38 7 9.5 7 13.5 "9" 18.5 NA
"Snodgrass & Heller (1904)" "Balt_SS" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 124 60.5 38.5 7 7 6.5 13 "8" 19 NA
"Snodgrass & Heller (1904)" "Balt_SS" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 123 64 39 6.5 8.7 7 13.7 "8.7" 19.5 NA
"Snodgrass & Heller (1904)" "Balt_SS" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 120 61 40 6.5 8.5 6.5 13.5 "8.5" 18.5 NA
"Snodgrass & Heller (1904)" "Balt_SS" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 115 63 36.6 7 8.5 6.5 12.5 "8" 18 NA
"Snodgrass & Heller (1904)" "Balt_SS" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 125 60 39 6.7 9 6.3 13 "8.5" 19 NA
"Snodgrass & Heller (1904)" "Balt_SS" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 123 62.5 39 7 8.5 NA 13.5 "7.5" 16 NA
"Snodgrass & Heller (1904)" "Balt_SS" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 117 63 37 7 8.5 6 12.5 "8" 19 NA
"Snodgrass & Heller (1904)" "Balt_SS" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 123 63 38 6.5 8.7 6.5 13 "8.7" 20 NA
"Snodgrass & Heller (1904)" "Balt_SS" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 120 64 38 7 9 7 13.5 "8.7" 19 NA
"Snodgrass & Heller (1904)" "Balt_SS" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 120 62 37 7 9.5 6.5 14.3 "8.7" 18 NA
"Snodgrass & Heller (1904)" "Balt_SS" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 125 64 38 6.7 8.3 6.5 12.5 "8.3" 18 NA
"Snodgrass & Heller (1904)" "Balt_SS" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 120 63 36 6.5 8.5 6.3 13.3 "8" 19 NA
"Snodgrass & Heller (1904)" "Balt_SS" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 133 60 30 6.7 8.5 7 13.7 "8.7" 18 NA
"Snodgrass & Heller (1904)" "Balt_SS" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 113 60 38 6.3 8 6.5 12 "8.5" 17 NA
"Snodgrass & Heller (1904)" "Balt_SS" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 120 60 37.5 6.5 9 6.5 13 "8.5" 18.5 NA
"Snodgrass & Heller (1904)" "Balt_SS" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 106 59 36 7 8.5 7.5 14 "9" 18 NA
"Snodgrass & Heller (1904)" "Balt_SS" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 118 59 34.5 6.5 8.5 6.5 13 "8.5" 18 NA
"Snodgrass & Heller (1904)" "Balt_SS" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 111 60 39 7 8.5 6.5 13.3 "8.5" 19.5 NA
"Snodgrass & Heller (1904)" "Balt_SS" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 116 58.5 33 6.7 8 7 13 "8.5" 18 NA
"Snodgrass & Heller (1904)" "SFe_Brngt" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 120 60 35 7 8.7 7 14 "9" 20 NA
"Snodgrass & Heller (1904)" "SFe_Brngt" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 123 63 39.5 6.7 8.5 6.7 13 "8.5" 18 NA
"Snodgrass & Heller (1904)" "SFe_Brngt" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 119 62 38.5 6.5 8 7.5 13 "8.5" 18.5 NA
"Snodgrass & Heller (1904)" "SFe_Brngt" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 123 61 37.5 7 9 6.7 13 "8.7" 18.7 NA
"Snodgrass & Heller (1904)" "SFe_Brngt" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 117 60 38 6.7 8.5 7 13 "8.5" 18 NA
"Snodgrass & Heller (1904)" "SFe_Brngt" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 113 61.5 37 7 8.7 6.5 13 "8" 18.5 NA
"Snodgrass & Heller (1904)" "SFe_Brngt" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 116 59 35 6.5 8.3 6.5 13.7 "8.3" 19 NA
"Snodgrass & Heller (1904)" "SFe_Brngt" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 116 59.5 37.5 6 7.5 6.3 13 "8.5" 17.3 NA
"Snodgrass & Heller (1904)" "SFe_Brngt" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 115 58.5 34 6.5 8.5 6 12.5 "8" 17.5 NA
"Snodgrass & Heller (1904)" "SCru_Inde" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA NA 60 38 6.5 8.5 6 12.7 "8" 18 NA
"Snodgrass & Heller (1904)" "SCru_Inde" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 112 63 38 6.5 8.5 6 13 "8.5" 19 NA
"Snodgrass & Heller (1904)" "SCru_Inde" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 116 62 39 6.7 8.5 6.7 13 "8..3" 19 NA
"Snodgrass & Heller (1904)" "SCru_Inde" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 120 63 41 6.3 8.3 6.3 12.5 "8" 19 NA
"Snodgrass & Heller (1904)" "SCru_Inde" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 120 62 41 6.7 8.5 6.5 13 "8" 19 NA
"Snodgrass & Heller (1904)" "SCru_Inde" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 120 62 38.5 6.5 8 6.3 12.3 "8" 19 NA
"Snodgrass & Heller (1904)" "Snti_Jams" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 116 64 44 6.5 8.5 7 13.3 "8.5" 20 NA
"Snodgrass & Heller (1904)" "Snti_Jams" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 112 58 37 6.3 7.3 6.3 12.3 "8" 19 NA
"Snodgrass & Heller (1904)" "Snti_Jams" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 116 62 42 6.5 8 6.5 14 "9" 19.5 NA
"Snodgrass & Heller (1904)" "Flor_Chrl" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA 122 64 38 6.7 8.5 7 13.7 "9" 20 NA
"Snodgrass & Heller (1904)" "Flor_Chrl" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "M" NA NA 62 38 6.5 8.5 6.5 12.5 "8" 18.5 NA
"Snodgrass & Heller (1904)" "Flor_Chrl" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 120 60 38 6.5 8.5 6.5 12.5 "8" 18 NA
"Snodgrass & Heller (1904)" "Flor_Chrl" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 110 61 36 6.5 8 6.7 12.5 "8.3" 19 NA
"Snodgrass & Heller (1904)" "Flor_Chrl" "Geospiza fuliginosa parvula" "Geospiza" "fuliginosa" "" "Geo.ful" "Geo.ful" "F" NA 120 59 35 6.5 8 6.6 13 "8.3" 19 NA
